filename,label,score,thought_density,thought_ratio,sim_pos,sim_neg,sim_gap,strong_score,support_score,non_thought_score,dominant_non_thought,strong_hits,support_hits,non_thought_hits,review_flag,reason,final_bucket,final_reason
1990-01-28 삶을 좀 더 밝게 보며.txt,높음,81.9186,218.3204,0.765,0.5215,0.3843,0.1372,510.5,220.0,224.4,word_prayer,"부정적(22), 긍정(21), 생각(18), 절망(13), 태도(11), 변화(10), 희망(6), 생각을(5)","마음(77), 바라보(21), 마음에(15), 태도(11), 마음속(9), 생각하(3), 두려워(2), 결심(1)","말(110), 예수님(44), 기도(30), 말씀(15), 신앙(9), 성령(7), 믿음(5), 소망(5)",,"제목에 생각 축 표지어가 있음 | 핵심표현: 부정적(22), 긍정(21), 생각(18), 절망(13), 태도(11) | 보조표현: 마음(77), 바라보(21), 마음에(15), 태도(11), 마음속(9)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
1998-02-01 마음을 새롭게 함으로 변화를 받으라.txt,높음,76.2065,192.9619,0.822,0.4526,0.309,0.1436,449.5,76.9,114.0,word_prayer,"변화(95), 변화를(20), 생각(11), 새롭게(3), 마음을 새롭게(2), 태도(2), 생각하는(1), 생각을(1)","마음(15), 마음속(8), 생각하(5), 변화받(3), 생각해(2), 깨닫(2), 태도(2), 두려워(2)","말(53), 십자가(31), 말씀(9), 구원(8), 기도(7), 예수님(5), 순종(4), 성령(3)",,"제목에 생각 축 표지어가 있음 | 핵심표현: 변화(95), 변화를(20), 생각(11), 새롭게(3), 마음을 새롭게(2) | 보조표현: 마음(15), 마음속(8), 생각하(5), 변화받(3), 생각해(2)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
2000-10-15 치료받아야 할 마음.txt,높음,47.7252,120.9632,0.7451,0.5186,0.3938,0.1248,115.5,268.8,131.5,word_prayer,"변화(21), 새롭게(5), 변화를(4), 생각(1), 생각하는(1), 지혜(1), 두려움(1), 염려(1)","마음(130), 마음에(39), 마음속(15), 두려워(3), 생각하(1), 새 사람(1)","말(40), 보혈(22), 성령(21), 기도(12), 십자가(8), 말씀(7), 예수님(6), 믿음(4)",,"제목에 생각 축 표지어가 있음 | 핵심표현: 변화(21), 새롭게(5), 변화를(4), 생각(1), 생각하는(1) | 보조표현: 마음(130), 마음에(39), 마음속(15), 두려워(3), 생각하(1)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
1989-12-03 마음의 눈.txt,높음,39.0086,96.9342,0.676,0.5186,0.4195,0.0991,70.0,211.4,134.9,word_prayer,"생각(7), 절망(3), 지혜(2), 낙심(2), 선택(1), 새롭게(1)","마음(72), 마음에(55), 바라보(19), 생각하(2), 깨닫(2), 낙심하지(1)","말(48), 예수님(24), 십자가(20), 말씀(15), 성령(9), 믿음(8), 기도(5), 보혈(3)",,"제목에 생각 축 표지어가 있음 | 핵심표현: 생각(7), 절망(3), 지혜(2), 낙심(2), 선택(1) | 보조표현: 마음(72), 마음에(55), 바라보(19), 생각하(2), 깨닫(2)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
1999-11-14 불행을 만드는 사람.txt,높음,38.0929,101.2684,0.7704,0.445,0.286,0.159,228.0,75.4,90.4,word_prayer,"생각(28), 변화(8), 생각하는(4), 생각을(2), 지혜(2), 생각이(1), 의식(1), 태도(1)","마음(21), 생각하(16), 마음에(3), 깨닫(1), 태도(1), 마음속(1), 담대(1), 바라보(1)","말(57), 기도(20), 말씀(8), 믿음(6), 성령(3), 신앙(1), 십자가(1), 구원(1)",,"핵심표현: 생각(28), 변화(8), 생각하는(4), 생각을(2), 지혜(2) | 보조표현: 마음(21), 생각하(16), 마음에(3), 깨닫(1), 태도(1)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
2015-11-08.txt,중간,147.825,416.6584,0.9167,0.2489,0.2526,-0.0037,759.5,78.4,76.1,word_prayer,"자화상(69), 생각(26), 부정적(13), 긍정(12), 변화(7), 의식(6), 생각하는(3), 생각을(3)","생각하(13), 마음(11), 마음속(5), 마음에(5), 바라보(4), 담대(3), 생각해(2), 정신(1)","말(36), 믿음(9), 기도(9), 부활(7), 말씀(6), 예수님(4), 선포(3), 성령(2)",,"핵심표현: 자화상(69), 생각(26), 부정적(13), 긍정(12), 변화(7) | 보조표현: 생각하(13), 마음(11), 마음속(5), 마음에(5), 바라보(4)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
1989-05-21 주여 주여 우리가 죽겠나이다.txt,중간,147.0485,414.6386,0.8922,0.4253,0.4316,-0.0063,1282.0,77.6,164.2,cross_salvation,"생각(168), 생각을(55), 생각이(16), 생각하는(5), 의식(5), 변화(3), 절망(3), 생각의(1)","마음(15), 생각하(13), 마음속(6), 정신(3), 생각해(3), 두려워(2), 마음에(1), 담대(1)","예수님(73), 말(41), 말씀(17), 십자가(16), 기도(8), 성령(6), 믿음(3), 신앙(2)",,"핵심표현: 생각(168), 생각을(55), 생각이(16), 생각하는(5), 의식(5) | 보조표현: 마음(15), 생각하(13), 마음속(6), 정신(3), 생각해(3)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
2017-06-11.txt,중간,136.6076,385.1102,0.8416,0.4238,0.4292,-0.0054,778.5,77.6,161.1,cross_salvation,"생각(80), 생각을(29), 생각이(20), 변화(12), 생각하는(6), 긍정(5), 낙심(2), 부정적(2)","생각하(15), 마음(12), 바라보(5), 마음속(4), 마음에(3), 낙심하지(2), 깨닫(1), 두려워(1)","예수님(40), 십자가(30), 말(22), 꿈(21), 성령(19), 믿음(7), 기도(6), 말씀(4)",,"핵심표현: 생각(80), 생각을(29), 생각이(20), 변화(12), 생각하는(6) | 보조표현: 생각하(15), 마음(12), 바라보(5), 마음속(4), 마음에(3)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
2018-04-29.txt,중간,132.6427,373.5068,0.8684,0.3603,0.3595,0.0008,509.0,122.6,95.7,word_prayer,"생각(49), 생각을(18), 부정적(11), 변화(10), 생각이(6), 긍정(6), 절망(2), 생각하는(1)","마음(47), 생각하(12), 마음에(11), 생각해(3), 마음속(3), 정신(1), 염려하지(1), 두려워(1)","말(36), 예수님(20), 말씀(13), 십자가(13), 기도(8), 믿음(5), 부활(3), 신앙(1)",,"핵심표현: 생각(49), 생각을(18), 부정적(11), 변화(10), 생각이(6) | 보조표현: 마음(47), 생각하(12), 마음에(11), 생각해(3), 마음속(3)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
2017-10-01.txt,중간,118.6655,333.6335,0.8384,0.3135,0.3053,0.0082,545.5,84.4,121.4,word_prayer,"생각(56), 생각을(18), 희망(10), 생각이(9), 생각하는(4), 긍정(4), 염려(3), 생각의(2)","바라보(18), 생각하(14), 두려워(5), 마음(4), 생각해(2), 마음에(2), 담대(1)","기도(38), 말(30), 예수님(23), 십자가(17), 말씀(9), 믿음(6), 구원(2), 부르짖(1)",,"핵심표현: 생각(56), 생각을(18), 희망(10), 생각이(9), 생각하는(4) | 보조표현: 바라보(18), 생각하(14), 두려워(5), 마음(4), 생각해(2)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
2018-06-17.txt,중간,114.1551,320.9512,0.8443,0.3031,0.3089,-0.0059,423.0,76.4,92.1,word_prayer,"생각(37), 생각을(13), 부정적(12), 긍정(8), 우울(7), 생각이(6), 변화(2), 낙심(2)","마음(26), 마음에(9), 생각하(8), 바라보(4), 생각해(1), 염려하지(1), 낙심하지(1)","말(46), 말씀(15), 꿈(10), 기도(9), 예수님(9), 선포(2), 구원(2), 믿음(1)",,"핵심표현: 생각(37), 생각을(13), 부정적(12), 긍정(8), 우울(7) | 보조표현: 마음(26), 마음에(9), 생각하(8), 바라보(4), 생각해(1)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
1999-02-21 이전것과 새것.txt,중간,108.3983,304.78,0.8382,0.4155,0.4353,-0.0198,802.0,160.8,185.9,word_prayer,"생각(49), 자화상(42), 생각이(16), 생각을(11), 절망(10), 선택(9), 긍정(4), 의식(3)","마음(29), 새 사람(19), 바라보(14), 마음속(13), 생각하(7), 마음에(6), 두려워(3), 정신(1)","말(73), 믿음(26), 말씀(20), 예수님(17), 소망(14), 기도(10), 성령(8), 꿈(8)",,"핵심표현: 생각(49), 자화상(42), 생각이(16), 생각을(11), 절망(10) | 보조표현: 마음(29), 새 사람(19), 바라보(14), 마음속(13), 생각하(7)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
1999-02-21.txt,중간,108.3983,304.78,0.8382,0.4155,0.4353,-0.0198,802.0,160.8,185.9,word_prayer,"생각(49), 자화상(42), 생각이(16), 생각을(11), 절망(10), 선택(9), 긍정(4), 의식(3)","마음(29), 새 사람(19), 바라보(14), 마음속(13), 생각하(7), 마음에(6), 두려워(3), 정신(1)","말(73), 믿음(26), 말씀(20), 예수님(17), 소망(14), 기도(10), 성령(8), 꿈(8)",,"핵심표현: 생각(49), 자화상(42), 생각이(16), 생각을(11), 절망(10) | 보조표현: 마음(29), 새 사람(19), 바라보(14), 마음속(13), 생각하(7)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
2013-09-15.txt,중간,105.8009,297.3526,0.7852,0.2468,0.2468,0.0,199.5,47.6,67.6,word_prayer,"생각(21), 생각을(7), 긍정(4), 변화(3), 생각이(2), 변화를(2), 생각하는(1), 묵상(1)","마음(13), 마음에(8), 생각하(3), 마음속(3), 생각해(1), 두려워(1), 담대(1), 바라보(1)","꿈(14), 성령(13), 말(13), 믿음(6), 말씀(5), 기도(4), 입술(3), 예수님(3)",,"핵심표현: 생각(21), 생각을(7), 긍정(4), 변화(3), 생각이(2) | 보조표현: 마음(13), 마음에(8), 생각하(3), 마음속(3), 생각해(1)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
2013-12-01.txt,중간,105.7592,297.7856,0.7218,0.3173,0.3263,-0.0089,486.5,105.2,228.1,word_prayer,"생각(45), 생각을(15), 생각이(14), 긍정(12), 희망(7), 변화(5), 절망(3), 새롭게(2)","마음(41), 마음에(18), 바라보(9), 마음속(3), 생각하(2)","말(73), 꿈(50), 말씀(41), 믿음(31), 성령(16), 기도(8), 입술(6), 예수님(3)",,"핵심표현: 생각(45), 생각을(15), 생각이(14), 긍정(12), 희망(7) | 보조표현: 마음(41), 마음에(18), 바라보(9), 마음속(3), 생각하(2)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
2017-10-29.txt,중간,105.3428,295.9302,0.8559,0.2228,0.2421,-0.0193,266.0,39.4,51.4,word_prayer,"자화상(24), 생각(11), 부정적(6), 태도(4), 긍정(2), 생각이(1), 염려(1), 낙심(1)","마음(6), 생각하(4), 태도(4), 생각해(2), 바라보(2), 정신(1), 염려하지(1), 새 사람(1)","말(27), 말씀(11), 예수님(7), 성령(4), 구원(2), 입술(1), 꿈(1), 십자가(1)",,"핵심표현: 자화상(24), 생각(11), 부정적(6), 태도(4), 긍정(2) | 보조표현: 마음(6), 생각하(4), 태도(4), 생각해(2), 바라보(2)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
2018-01-21.txt,중간,104.2439,293.75,0.7015,0.2719,0.2906,-0.0186,319.0,47.6,156.0,word_prayer,"생각(37), 생각을(17), 생각이(6), 희망(2), 두려움(1), 염려(1), 긍정(1)","마음(12), 마음에(6), 두려워(4), 마음속(3), 생각하(2), 바라보(2), 담대(1)","말(31), 꿈(28), 믿음(23), 성령(23), 말씀(17), 기도(8), 예수님(7), 보혜사(4)",,"핵심표현: 생각(37), 생각을(17), 생각이(6), 희망(2), 두려움(1) | 보조표현: 마음(12), 마음에(6), 두려워(4), 마음속(3), 생각하(2)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
2017-03-05.txt,중간,103.0802,290.5263,0.7358,0.3723,0.4094,-0.0371,457.0,95.0,198.2,word_prayer,"생각(35), 생각을(19), 변화(14), 부정적(8), 생각이(5), 변화를(4), 두려움(4), 긍정(4)","마음(15), 바라보(14), 마음속(10), 생각하(4), 깨닫(3), 마음에(2), 두려워(2), 담대(2)","믿음(53), 말(44), 예수님(27), 꿈(21), 말씀(18), 십자가(9), 신앙(6), 기도(5)",,"핵심표현: 생각(35), 생각을(19), 변화(14), 부정적(8), 생각이(5) | 보조표현: 마음(15), 바라보(14), 마음속(10), 생각하(4), 깨닫(3)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
1996-10-06 축복을 가져오는 생활태도.txt,중간,99.2983,278.8502,0.8643,0.4583,0.4917,-0.0334,634.5,165.8,125.7,word_prayer,"생각(38), 긍정(26), 부정적(23), 희망(19), 생각을(18), 절망(5), 생각이(3), 태도(3)","마음(64), 마음속(20), 마음에(11), 생각하(5), 태도(3), 생각해(1), 두려워(1), 바라보(1)","말(44), 기도(39), 말씀(11), 꿈(9), 입술(6), 예수님(6), 믿음(5), 십자가(5)",,"핵심표현: 생각(38), 긍정(26), 부정적(23), 희망(19), 생각을(18) | 보조표현: 마음(64), 마음속(20), 마음에(11), 생각하(5), 태도(3)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
2002-01-27 두려움.txt,중간,95.488,259.8228,0.8257,0.3394,0.3838,-0.0444,606.5,214.8,173.4,word_prayer,"두려움(95), 생각(13), 부정적(6), 생각을(5), 생각이(4), 절망(3), 낙심(2), 정신적(1)","두려워(42), 마음(41), 마음속(14), 마음에(13), 바라보(10), 생각하(2), 담대(2), 정신(1)","말(64), 믿음(27), 예수님(21), 말씀(17), 기도(13), 성령(9), 보혈(6), 구원(5)",,"제목에 생각 축 표지어가 있음 | 핵심표현: 두려움(95), 생각(13), 부정적(6), 생각을(5), 생각이(4) | 보조표현: 두려워(42), 마음(41), 마음속(14), 마음에(13), 바라보(10)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
2012-09-02.txt,중간,95.1021,268.0948,0.7417,0.3749,0.4354,-0.0605,374.5,157.4,185.2,word_prayer,"염려(27), 생각(15), 변화(12), 희망(9), 절망(7), 변화를(5), 긍정(5), 생각이(3)","바라보(47), 마음(14), 담대(9), 마음에(6), 두려워(5), 생각하(4), 염려하지(3), 마음속(2)","말(43), 성령(32), 예수님(22), 말씀(20), 십자가(17), 믿음(13), 꿈(12), 입술(5)",,"핵심표현: 염려(27), 생각(15), 변화(12), 희망(9), 절망(7) | 보조표현: 바라보(47), 마음(14), 담대(9), 마음에(6), 두려워(5)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
1997-03-16 마음이 우울할 때.txt,중간,92.7391,242.8474,0.8692,0.2467,0.275,-0.0283,616.0,93.6,106.8,word_prayer,"우울(79), 생각(15), 낙심(10), 생각을(7), 부정적(7), 긍정(6), 변화(4), 희망(4)","마음(45), 마음에(6), 정신(3), 생각하(3), 마음속(2), 바라보(2), 태도(1), 두려워(1)","기도(31), 말(30), 부르짖(13), 예수님(10), 성령(7), 신앙(5), 십자가(5), 믿음(4)",,"제목에 생각 축 표지어가 있음 | 핵심표현: 우울(79), 생각(15), 낙심(10), 생각을(7), 부정적(7) | 보조표현: 마음(45), 마음에(6), 정신(3), 생각하(3), 마음속(2)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
2016-01-17.txt,중간,90.4597,253.8883,0.7808,0.3359,0.3557,-0.0198,420.5,88.8,143.0,word_prayer,"생각(35), 희망(18), 긍정(13), 생각이(8), 변화(7), 부정적(5), 생각을(4), 절망(3)","마음(21), 생각하(12), 바라보(6), 마음속(5), 마음에(4), 정신(2), 결심(1), 결단(1)","말(42), 꿈(23), 예수님(15), 믿음(13), 기도(12), 십자가(12), 말씀(9), 부활(8)",,"핵심표현: 생각(35), 희망(18), 긍정(13), 생각이(8), 변화(7) | 보조표현: 마음(21), 생각하(12), 바라보(6), 마음속(5), 마음에(4)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
2020-07-05.txt,중간,90.0374,254.0829,0.672,0.3587,0.4204,-0.0617,291.5,113.0,197.4,word_prayer,"생각(20), 변화(17), 의식(8), 생각이(6), 생각을(4), 생각의(3), 묵상(3), 변화를(2)","마음(34), 마음속(19), 마음에(9), 바라보(7), 생각하(1), 낙심하지(1)","말(43), 믿음(42), 기도(29), 말씀(23), 꿈(18), 예수님(12), 십자가(10), 입술(9)",,"핵심표현: 생각(20), 변화(17), 의식(8), 생각이(6), 생각을(4) | 보조표현: 마음(34), 마음속(19), 마음에(9), 바라보(7), 생각하(1)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
2019-03-31.txt,중간,89.4863,251.0836,0.7655,0.3958,0.4086,-0.0129,217.5,188.0,124.2,word_prayer,"생각(15), 변화(9), 생각이(7), 절망(4), 생각을(3), 지혜(3), 묵상(2), 두려움(2)","마음(97), 마음에(29), 마음속(4), 정신(3), 두려워(1), 새 사람(1)","말(30), 성령(22), 말씀(20), 꿈(14), 예수님(11), 믿음(8), 십자가(7), 입술(5)",,"핵심표현: 생각(15), 변화(9), 생각이(7), 절망(4), 생각을(3) | 보조표현: 마음(97), 마음에(29), 마음속(4), 정신(3), 두려워(1)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
2001-02-25 선택.txt,중간,87.2251,235.8459,0.8372,0.3687,0.3958,-0.0271,849.5,148.6,194.1,word_prayer,"선택(85), 생각(40), 부정적(14), 긍정(12), 생각을(10), 결단(8), 희망(7), 절망(6)","마음(38), 마음에(15), 생각하(10), 결단(8), 마음속(6), 두려워(6), 생각해(3), 새 사람(2)","말(81), 말씀(34), 순종(18), 믿음(16), 구원(16), 예수님(13), 기도(10), 성령(6)",,"제목에 생각 축 표지어가 있음 | 핵심표현: 선택(85), 생각(40), 부정적(14), 긍정(12), 생각을(10) | 보조표현: 마음(38), 마음에(15), 생각하(10), 결단(8), 마음속(6)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
2017-06-04.txt,중간,87.191,244.4073,0.7858,0.3488,0.3622,-0.0134,441.5,69.8,139.4,word_prayer,"생각(33), 생각을(13), 긍정(10), 부정적(10), 생각이(5), 희망(4), 관점(3), 변화(3)","마음(12), 두려워(9), 마음에(6), 바라보(5), 생각해(3), 생각하(2), 태도(2), 마음속(2)","말(45), 성령(21), 십자가(15), 예수님(15), 말씀(13), 보혜사(7), 믿음(5), 부활(4)",,"핵심표현: 생각(33), 생각을(13), 긍정(10), 부정적(10), 생각이(5) | 보조표현: 마음(12), 두려워(9), 마음에(6), 바라보(5), 생각해(3)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
2012-07-22.txt,중간,85.7597,240.3,0.8124,0.2527,0.2748,-0.0221,167.5,72.8,55.5,word_prayer,"낙심(16), 생각(6), 긍정(5), 희망(5), 절망(4), 부정적(2), 생각을(1), 생각이(1)","마음(29), 바라보(5), 생각하(4), 마음속(4), 담대(3), 마음에(1)","말(25), 믿음(6), 십자가(5), 말씀(4), 기도(4), 꿈(4), 신앙(2), 성령(2)",,"핵심표현: 낙심(16), 생각(6), 긍정(5), 희망(5), 절망(4) | 보조표현: 마음(29), 바라보(5), 생각하(4), 마음속(4), 담대(3)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
2018-06-24.txt,중간,85.1591,239.1218,0.7039,0.376,0.3897,-0.0137,415.0,64.2,201.6,word_prayer,"생각(50), 긍정(8), 생각이(7), 선택(4), 부정적(4), 생각하는(3), 생각을(2), 변화(2)","생각하(14), 마음(10), 바라보(7), 마음에(3), 마음속(2), 두려워(1)","말(69), 믿음(47), 말씀(33), 꿈(17), 예수님(17), 기도(8), 입술(7), 구원(5)",,"핵심표현: 생각(50), 긍정(8), 생각이(7), 선택(4), 부정적(4) | 보조표현: 생각하(14), 마음(10), 바라보(7), 마음에(3), 마음속(2)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
2018-12-30.txt,중간,85.0155,238.2415,0.7566,0.3092,0.3148,-0.0056,307.0,34.4,109.8,word_prayer,"생각(24), 부정적(14), 생각을(10), 생각이(4), 염려(4), 결단(3), 긍정(3), 생각하는(1)","마음(14), 결단(3), 생각하(2), 마음에(2), 바라보(1)","말(28), 예수님(20), 말씀(14), 성령(12), 십자가(8), 믿음(7), 기도(7), 꿈(4)",,"핵심표현: 생각(24), 부정적(14), 생각을(10), 생각이(4), 염려(4) | 보조표현: 마음(14), 결단(3), 생각하(2), 마음에(2), 바라보(1)",유지,자동 판정과 수동 검토 기준에서 생각 축 유지
